latency,CC_LEFT,CC_RIGHT,CF_LEFT,CF_RIGHT,FC_LEFT,FC_RIGHT,FF_LEFT,FF_RIGHT,HC_LEFT,HC_RIGHT,HF_LEFT,HF_RIGHT,EE_LEFT,EE_RIGHT,EF_LEFT,EF_RIGHT,FE_LEFT,FE_RIGHT,HE_LEFT,HE_RIGHT
78,-1.55504473050435,-0.632474859555562,-1.60115830103556,-0.912769834200538,-1.65199915568033,-0.985578060150142,-1.65011604626973,-1.20783408482869,-1.73468375205993,-1.20507621765136,-2.02205896377563,-1.74298830827077,-0.619805335998535,-0.686937769254049,-0.85069219271342,-0.627134442329407,-1.64088364442189,-1.54938427607218,-1.92528013388315,-1.47305798530578
80,-1.600950161616,-0.602419177691142,-1.67038782437642,-0.893178184827164,-1.59184694290161,-0.92139458656311,-1.67135310173034,-1.21866631507873,-1.73894874254862,-1.17272186279296,-2.05092461903889,-1.71755747000376,-0.559340755144755,-0.68573788801829,-0.883694251378376,-0.601385474205017,-1.61131036281585,-1.50573031107584,-1.91415146986643,-1.41152946154276
82,-1.63360071182251,-0.560964226722718,-1.72443882624308,-0.863003849983213,-1.51347072919209,-0.836731354395549,-1.68318478266397,-1.22424944241841,-1.73149172465006,-1.12601701418558,-2.07991576194763,-1.68028422196706,-0.490367293357849,-0.666675527890523,-0.905148506164548,-0.560118476549784,-1.56372272968292,-1.44792095820108,-1.89989499251047,-1.33961844444274
84,-1.65162555376688,-0.509151101112366,-1.75801157951355,-0.820952455202739,-1.41750454902648,-0.732209046681722,-1.68114431699117,-1.21880078315734,-1.7095464070638,-1.06536475817362,-2.10538093249003,-1.62933973471323,-0.417006293932597,-0.630965312321981,-0.909505049387613,-0.503592848777771,-1.49683662255605,-1.37871368726094,-1.882839401563,-1.26109290122985
86,-1.65454526742299,-0.449276725451152,-1.75990017255147,-0.761438647905986,-1.30510036150614,-0.609878460566203,-1.66470416386922,-1.19913776715596,-1.67122729619344,-0.988669792811074,-2.12211020787557,-1.56935767332712,-0.342027544975281,-0.580310622851054,-0.889323234558106,-0.428316513697306,-1.41082974274953,-1.29681531588236,-1.85738599300384,-1.17744867006937
88,-1.64066382249196,-0.384231964747111,-1.74223891894022,-0.695045034090678,-1.17817266782124,-0.473207950592041,-1.6342875957489,-1.16342854499817,-1.61540548006693,-0.898476401964821,-2.12854464848836,-1.49755521615346,-0.271748940149943,-0.520275115966797,-0.840124130249023,-0.335983475049337,-1.30649514993032,-1.20288848876953,-1.82579950491587,-1.09558586279551
90,-1.61362977822621,-0.318564613660177,-1.69548416137695,-0.617612957954407,-1.03767236073811,-0.325727542241415,-1.59103314081828,-1.11022202173869,-1.54199759165445,-0.797140757242838,-2.11841058731079,-1.41762284437815,-0.207965771357218,-0.453763564427694,-0.758119265238441,-0.227597196896871,-1.18629968166351,-1.09764035542805,-1.78341042995453,-1.01515213648478
92,-1.57671225070953,-0.257091720898946,-1.61995546023051,-0.528512080510457,-0.886287132898965,-0.172552744547526,-1.53682724634806,-1.03949213027954,-1.4521103700002,-0.688013434410094,-2.08711743354797,-1.33047028382619,-0.154473781585693,-0.387169162432353,-0.641140460968018,-0.104961633682251,-1.05089835325877,-0.983304738998411,-1.73049795627594,-0.939328829447428
94,-1.53075937430063,-0.203975041707357,-1.51527698834736,-0.425871292750041,-0.726250092188517,-0.0187874635060627,-1.47532963752746,-0.951577981313067,-1.34792788823445,-0.575215140978496,-2.03251592318217,-1.23657810688018,-0.112717350323995,-0.324306726455688,-0.489378730456034,0.029348691304525,-0.903071840604146,-0.85975193977356,-1.66459222634633,-0.865955869356791
96,-1.4739062388738,-0.15900993347168,-1.3848237991333,-0.312865694363912,-0.560019095738729,0.130447030067444,-1.40284403165181,-0.84854261080424,-1.23260315259297,-0.463314731915792,-1.95166937510172,-1.1361250480016,-0.0825546979904177,-0.269804755846659,-0.305120269457499,0.172003626823425,-0.747813661893209,-0.732557853062947,-1.58880285422007,-0.799512147903442
98,-1.41912845770518,-0.134440581003825,-1.22977193196614,-0.187339464823405,-0.390199383099874,0.27015749613444,-1.32982865969339,-0.73704727490743,-1.10992391904195,-0.35701584815979,-1.84407043457031,-1.03051892916361,-0.0638494888941447,-0.226888537406921,-0.0929990609486897,0.318934162457784,-0.5898197889328,-0.604266246159871,-1.50211687882741,-0.737001419067383
100,-1.36198111375173,-0.125619808832804,-1.05533099174499,-0.0531075795491537,-0.219372709592183,0.396810213724772,-1.25465726852417,-0.6182914574941,-0.98002211252848,-0.255886475245158,-1.70873363812764,-0.915693223476407,-0.0553640127182003,-0.198317408561707,0.140194137891133,0.465914726257324,-0.431450645128886,-0.476626396179199,-1.40604945023854,-0.677232185999552
102,-1.31262528896331,-0.14180862903595,-0.865274945894872,0.0892415444056193,-0.050559838612874,0.506963014602661,-1.18189891179402,-0.500826438268026,-0.855674147605894,-0.173806150754293,-1.55205051104227,-0.799258490403493,-0.0541778405507407,-0.18478266398112,0.385831276575724,0.607934236526488,-0.276201049486796,-0.352976799011231,-1.30251411596934,-0.618499517440796
104,-1.26599037647247,-0.173387964566548,-0.664886156717933,0.236908475557963,0.112922191619873,0.598244587580363,-1.11157576243082,-0.387296517690023,-0.735971689224241,-0.109645048777262,-1.37884918848673,-0.680052260557809,-0.060311158498128,-0.186540325482686,0.634007831414539,0.739852547645569,-0.126440167427063,-0.234717806180318,-1.19422795375188,-0.559357682863871
106,-1.233238697052,-0.227269927660624,-0.459940433502197,0.386197288831075,0.271622578303019,0.672872503598531,-1.04662068684895,-0.2799973487854,-0.626417954762774,-0.063336968421936,-1.19009218613306,-0.55767152706782,-0.067856788635254,-0.201665838559468,0.875653227170307,0.855552573998766,0.0163801511128743,-0.123666048049927,-1.08313065767288,-0.497921347618103
108,-1.21339356899261,-0.298927346865336,-0.25291363398234,0.535539229710897,0.414350072542826,0.724979241689046,-0.982624133427936,-0.187911550203959,-0.529455622037252,-0.0366686979929607,-0.99804991483688,-0.438033203283946,-0.0774936278661093,-0.229795654614766,1.09676853815714,0.951404035091398,0.148820320765178,-0.022627830505371,-0.975069423516589,-0.43580683072408
